ID,Dish_id,Language,Name,Ingredients of a standard portion for an adult,Recipe,Tip
263,105,sp,Crema de calabaza y calabacín con picatostes,"Calabaza,150,g;
Calabacín,100,g;
Puerro,50,g;
Caldo de pollo,200,ml;
Sal,2.5,g;
Pimienta,2.5,g;
Aceite de oliva,10,g;","Lavar, Pelar y cortar la calabaza, calabacín y el puerro. En un olla salteamos con aceite las verduras y añadimos la sal y la pimienta. A continuación añadimos el caldo de verduras y cocinamos a fuego medio durante media hora. Por último triturar las verduras. ",
264,106,sp,Vichyssoise de puerro y patata,"Puerro,250,g;
Patata,200,g;
Leche entera,100,ml;
Zumo de limón,5,ml;
Caldo de pollo,100,ml;
Cebollino,2,g;
Sal,2,g;
Pimienta,2,g;
Aceite de oliva,10,g;","Pelar, lavar el puerro y la partata. Cortar en cubos las patatas. Cortar la parte blanca de los puerros en dos o tres mitades. Añadir en una olla el aceite y rehogar la patata y el puerro durante 10 minutos, sazonar con una pizca de sal, pimienta y zumo de limón, cubrir con el caldo de pollo y dejar cocer a fuego medio durante 30 minutos. Triturar las verduras añadiendo la leche entera hasta obtener una textura fina, reservar en la nevera. Servir con cebollino picado. ",
265,107,sp,Ajo blanco con uvas y jamón,"Pan,30,g;
Almendras,25,g;
Uvas,50,g;
Jamón serrano,30,g;
Vinagre,10,ml;
Sal,2,g;
Aceite de oliva,20,g;","Empezamos remojando la miga de pan en agua fría. A continuación, ponemos en un vaso de batidora el pan remojado, la almendra cruda, el diente de ajo, el vinagre, la sal y trituramos todo. Servir con uvas peladas y trocitos de jamón serrano. ",
266,108,sp,Alcachofas salteadas con ajo y huevo a la plancha,"Alcachofas,150,g;
Ajo,2,g;
Huevo,55,g;
Aceite de oliva,10,g;","Pelar y cortar las alchofas. En una olla cocer las alcahofas cuando esten cocinadas colar y reservar. En una sartén calentamos el aceite y añadimos el diente de ajo picado, salteamos junto con las alcachofas. Servir con un huevo a la plancha. ",
267,109,sp,Crema de brócoli y guisantes con semillas,"Brócoli,150,g;
Guisantes,90,g;
Puerro,50,g;
Caldo de pollo,200,ml;
Semillas,5,g;
Aceite de oliva,10,g;","Cortar y lavar el brócoli y el puerro, en una olla salteamos las verduras y añadimos los guisantes. A continuación, incorporamos el caldo de pollo y dejamos cocinar durante 30 minutos a fuego medio. Por último trituramos hasta obtener una textura fina. Servir con semillas. ",
268,110,sp,Tomates rellenos de quinoa y atún,"Tomate,200,g;
Pimiento,50,g;
Cebolla,30,g;
Quinoa,80,g;
Atún,60,g;
Aceite de oliva,5,g;","Lavar y vaciar los tomates con ayuda de una cuchara, cortar en dados la pulpa del tomate y reservar envoltura. A continuación lavar y cortar en dados pequeños el pimiento y la cebolla. En una sartén añadir el aceite de oliva  y saltear las verduras junto con la pulpa de los tomates, cocinar durante 10 minutos a fuego medio. En una olla cocinar la quinoa y añadirla junto con las verduras y una lata de atún. Por último rellenar los tomates con la mezcla de quinoa, verdura y atún. Servir con perejil fresco picado. ",
269,111,sp,Guisantes a la catalana con jamón,"Guisantes,200,g;
Cebolla,60,g;
Jamón ibérico,80,g;
Aceite de oliva,15,ml;
Caldo,15,ml;
Vino rancio,10,ml;
Menta,8,g;","En una cazuela o sartén dorar el jamón y añadir la cebolla tierna picada y los ajos tiernos picados y sufrir a fuego lento unos 2-3 minutos, revoloteando y vigilando que no se queme. Dejar la cazuela con el vino (o el alcohol que queramos usar) y dejar evaporar el alcohol. Incorporar los guisantes pelados, salar ligeramente, incorporar el caldo, tapar la cazuela y cocer de 2 a 4 minutos a fuego medio. El tiempo de cocción de los guisantes es variable y depende de su tamaño. Cuando quede 1 minuto, añadir la menta picada y acabar de cocer los guisantes a la catalana con pernil ibérico. Listo para servir.",
270,112,sp,Sopa de lentejas,"Lentejas rojas secas,90,g;
Cebolla,50,g;
Ajo,4,g;
Zanahoria,50,g;
Apio,25,g;
Caldo de verduras,360,g;
Comino,1,g;
Cilantro,0,75,g;
Cúrcuma,0,75,g;
","Lavar las lentejas en agua fría y reservar. Calentar un poco de aceite en una olla grande y saltar la cebolla, el ajo, la zanahoria y el apio hasta que se ablanden. Agregar las lentejas, el caldo de verduras y las especias a la olla. Llevar la mezcla a ebullición y reducir a fuego bajo. Cocinar a fuego lento la sopa durante unos 30 minutos, o hasta que las lentejas estén tiernas. Añadir sal y pimienta al gusto.",
271,113,sp,Garbanzos con espinacas,"Aceite, de oliva virgen extra,15,g;
Ajo,8,g;
Cebolla,25,g;
Pimenton ahumado,0.5,g;
Comino,0.5,g;
Tomate triturado,120,g;
Espinacas,75,g;
Garbanzos,110,g;","Enjuagar los garbanzos en conserva y reservar las espinacas y el puré de tomate. Cortar finamente los ajos en rodajas y picar finamente la mitad de una cebolla. Calentar aceite de oliva en una sartén antiadherente y cocinar los ajos y la cebolla hasta que estén dorados. Agregar comino, pimentón ahumado, puré de tomate, sal, pimienta y azúcar. Agregar las espinacas, tapar y cocinar durante 2 minutos. Agregar los garbanzos, sazonar de nuevo con sal y pimienta, cocinar durante 4 minutos más y transferir a un tazón.",
272,114,sp,Habas a la catalana,"Habas,113,g;
Menta,0.5,g;
Botifarra negra,60,g;
Ajo,0.5,g;
Cebolla,60,g;
Vino blanco,62.5,g;","Cocer las habas en agua hirviendo con un poco de sal durante aproximadamente 20 minutos y luego escurrirlas y reservarlas. Seguidamente, pelar y picar la cebolla y pocharla en una sartén con aceite de oliva a fuego lento, añadiendo sal y, posteriormente, picar los ajos y dorarlos. Acto seguido, agregar las habas, la menta y una botifarra entera, y rehogarlo todo juntos. Después, añadir un vaso de vino, remover y dejar cocinar durante unos 15 minutos a fuego lento. Finalmente, retirar la botifarra, cortarla en trozos y servir todo mezclado.",
273,115,sp,Lentejas guisadas con pollo y verduras,"Lentejas,90,g;
Ajo,5,g;
Pimiento verde,5,g;
Cebolla,5,g;
Tomate,5,g;
Pechuga de pollo,120,g;
Aceite de oliva virgen extra,5,g;","Lavar las verduras y cortarlas. Cocinar la pechuga de pollo a la plancha y cortar en cubos. Mezclar todos los ingredientes en un tazón: las lentejas cocidas, las verduras y la pechuga de pollo. Agregar aceite de oliva virgen extra o tu aliño preferido.",
274,116,sp,Hummus,"Garbanzos,50,g;
Ajo,2,g;
Tahini,10,g;
Jugo de limón,5,g;
Aceite de oliva virgen extra,5,g;
Sal,1,g;
Comino,1,g;
Pimienta negra,0.5,g;","Procesar los garbanzos en la batidora hasta obtener una pasta homogénea. Agregar el tahini, los ajos pelados y picados, el zumo de limón, el comino y el aceite de oliva. Sazonar al gusto. Mezclar durante 3 a 5 minutos, hasta que tenga una consistencia suave.",
275,117,sp,Falafel,"Garbanzos,40,g;
Cebolla,25,g;
Ajo,4,g;
Pan rallado,40,g;
Aceite de oliva virgen extra,10,g;
Perejil fresco,3,g;
Cilantro fresco,1,g;
Pimienta negra,1,g;","Pelar y picar los ajos y la cebolla. Triturar los garbanzos, el perejil y el cilantro, y mezclar con la picada anterior. Salpimentar la masa, añadir la levadura y mezclar hasta obtener una mezcla homogénea. Si la masa no es lo suficientemente consistente, se puede añadir harina de garbanzo para espesarla. Dejar reposar la masa durante 30-45 minutos. Hacer bolas medianas con la masa, rebosarlas con pan rallado y freírlas. Escurrir el exceso de aceite y servir.",
276,118,sp,Habas a la menta,"Habas,112.5,g;
Jamón serrano,60,g;
Lechuga,45,g;
Hojas de menta,4,g;
Aceite de oliva virgen extra,11.25,g;
Vinagre,7.5,g;","Hervir las habas junto con unas hojas de menta y luego escurrirlas para enfriarlas en un bol con agua fría. Guardar algunas para la vinagreta. Cortar unas hojas de lechuga y el jamón en juliana. Para hacer la vinagreta, picar unas hojas de menta en el mortero y añadir el aceite, el vinagre y una pizca de sal. Mezclar las habas, la lechuga y el jamón, y aliñarlo todo con la vinagreta preparada anteriormente.",
277,119,sp,Habas con calamares,"Habas,112.5,g;
Calamar,150,g;
Cebolla tierna,60,g;
Ajo tierno,15,g;
Menta fresca,5,g;
Perejil fresco,3,g;
Anís,7.5,g;
Aceite de oliva virgen extra,15,g;
Sal,3,g;","Limpiar y cortar los calamares en trozos, pelar y picar las cebollas y los ajos tiernos. En una cacerola con un poco de aceite, sofreír lentamente la verdura. Añadir los calamares, saltearlos y dejarlos cocer a fuego lento. Añadir las hierbas aromáticas (reservar algunas hojas de menta para el final) y las habas, remover y añadir el licor. Dejar cocinar durante unos 10-15 minutos. Servir con la menta por encima.",
278,120,sp,Crema de alubias y calabaza,"Calabaza,155,g;
Alubias,50,g;
Cebolla,30,g;
Ajo,3,g;
Romero seco,1,g;
Aceite de oliva virgen extra,12,g;
Sal,1,g;
Pimienta negra,1 g;","Pelar la calabaza y cortarla en cubos. Sofreír la cebolla cortada fina y los ajos pelados y enteros en una olla con aceite caliente hasta que empiecen a tomar color. Añadir la calabaza, sal y pimienta a la olla y dejarlo cocinar unos minutos más. Agregar el caldo hasta cubrirlo todo. Tapar y dejar cocinar unos 10-15 minutos. Verter las alubias cocidas y el romero picado y dejar cocinar unos minutos más. Triturarlo todo hasta que quede una crema bien fina.",
279,121,sp,Hamburguesa de alubias rojas,"Alubias rojas,70,g;
Cebolla,60,g;
Zanahoria,50,g;
Ajo,2,g;
Perejil fresco,2,g;
Pan rallado,15,g;
Pimienta negra,1,g;
Aceite de oliva virgen extra,10,g;","Rallar las zanahorias, picar los ajos y cortar la cebolla finamente. Triturar las alubias rojas y mezclarlas con el resto de ingredientes. Formar unas doce hamburguesas y rebozarlas con el pan rallado. Dorarlas en una sartén antiadherente o en el horno.",
280,122,sp,Untable de lentejas,"Lentejas,20,g;
Nueces,10,g;
Ajo,1,g;
Zumo de limón,7.5,g;
Aceite de oliva virgen extra,5,g;
Comino,0.5,g;
Sal,0.5,g;
Pimienta negra,0.5,g;","Pelar y picar los ajos. Triturar las lentejas con las nueces, los ajos, el zumi de los limones, el aceite, el comino, la sal y la pimienta. Añade un poco de agua para mejorar la consistencia y más zumo de limón, si es necesario.",
281,123,sp,Lentejas guisadas con verduras y arroz,"Lentejas,50,g;
Cebolla,40,g;
Zanahoria,40,g;
Pimiento verde,25,g;
Arroz,37.5,g;
Ajo,2,g;
Salsa de tomate,30,g;
Aceite de oliva virgen extra,15,g;
Sal,1,g;
Pimienta negra,1,g;","Lavar y pelar las verduras, cortar en trozos y sofreír con tomate frito durante dos minutos. Añadir las lentejas secas y agua suficiente para cubrir todo, luego cocinar a fuego medio-bajo durante 30 minutos. Agregar el arroz y cocinar por 20 minutos más o hasta que el arroz esté cocido. Probar y ajustar la sazón al gusto.",
282,124,sp,Edamame salteado,"Edamames,75,g;
Ajo,4,g;
Salsa de soja,10,g;
Zumo de limón,5,g;
Pimentón dulce,2,g;","Cocer los edamames congelados en agua hirviendo con una cucharadita de sal durante 5 minutos. Escurrir, y añadir a la sartén en la que previamente habremos salteado el ajo picado, saltear todo el conjunto. Añadir el zumo de limón y la soja, cocinar hasta que se haya evaporado el caldo, poner el pimentón, dar un par de vueltas y terminar.",
283,125,sp,Fajitas de pollo y verduras,"Pollo,120,g;
Fajitas integrales,100,g;
Cebolla,50,g;
Pimiento verde,40;
Pimiento rojo,40;
Tomate crudo,40,g;
Zanahoria,30,g;
Maíz en conserva,30,g;
Lechuga,20,g;
Aceite de oliva,15,ml;
Especias al gusto,5,g;","En una sartén calentar el aceite y añadir la cebolla y el ajo hasta que se doren. Añadir el pimiento rojo y verde previamente lavados y cortados en tiras finas. Sofreír, y pasados unos minutos añadir el pollo cortado también en tiras o quadraditos. A parte, lavar las otras verduras y cortar el tomate en trozos pequeños, rallar la zanahoria, y trozear la lechuga en tiras. Una vez el pollo con su salsa esté cocido, apartar y servir en un plato. Aprovechar la sartén para calentar las fajitas. Enrollar las fajitas con el pollo y el sofrito de verduras, lsa verduras cortadas y el maíz. Servir. ",
284,126,sp,Muslos de pollo al horno con patatas,"Muslos de pollo,250,g;
Patata cruda,90,g;
Ajo seco,2,g;
Limón exprimigo,1,ml;
Perejil picado,0.5,g;
Azafrán,0.1,g;
Sal,1,g;
Pimienta negra polvo,0.2,g;
Aceite de oliva,5,g;","Mezclar y machacar en un mortero el ajo, perejil, pimienta negra, azafrán y sal. Limpiar bien las piezas de pollo quitando el exceso de grasa. Limpiar y pelar las patatas y cortarlas en láminas. Cubrir la base de una bandeja de hornear con las patatas y los muslos de pollo. Untar el pollo con aceite de oliva y con el aliño preparado anteriormente. Exprimir el jugo de limón por encima. Introducir al horno precalentado a 190ºC y hornear durante 45 min. Voltear el pollo a los 30 min. para que se dore por los dos lados. Servir. ",
285,127,sp,Brochetas de pavo y calabacín a la parrilla,"Muslo de pavo deshuesado,150,g;
Calabacín,50,g;
Ajo seco,2,g;
Limón exprimido,3,ml;
Pimentón dulce,1,g;
Finas hierbas,0.5,g;
Sal,2,g;
Aceite de oliva,5,g;
Brochetas de madera;","La noche anterior: mezclar todas las especias. Cortar la carne en trozos medianos y  poner en un bol. Incorporar la mezcla de especias, el ajo picado, la sal, el jugo de limón y un poco de aceite de oliva. Mezclar bien y dejar reposar en el frigorífico. El mismo día: trocear el calabacín a dados. Ensartar los trozos de carne y de calabacín en las brochetas. Calentar la parrilla. Cocinar las brochetas a fuego fuerte hasta que se doren. Ir dando la vuelta. Servir. ",
286,128,sp,Hamburguesas de pavo con hierbas provenzales y tomatitos salteados,"Muslo de pavo deshuesado,150,g;
Hierbas provenzales,1,g;
Ajo en polvo,0.4,g;
Piel de limón rallada,3,g;
Sal,2,g;
Pimienta negra molida,0.2,g;
Tomates cherry,60,g;
Cebolletas en conserva,30,g;
Aceite de oliva,5,g;","Limpiar el hueso, la piel y exceso de grasa de la carne de pavo. Trocear la carne y triturar con una picadora. Añadir las especias, la piel de limón rallada y sal y pimienta. Mezclar bien hasta obtener una masa homogénea y compacta. Dar forma de hamburguesa y reservar.
Lavar los tomatitos y cortar por la mitad. Escurrir las cebolletas. Calentar la plancha con poco aceite y cocinar las hamburguesas por ambos lados. A la vez, cocinar las cebolletas y retirar cuándo estén ligeramente tostadas. Por último, saltear los tomates. Añadir sal al gusto. Servir. ",
287,129,sp,Albóndigas de pavo en salsa,"Pechuga de pavo,250,g;
Champiñones laminados,60,g;
Puerro,15,g;
Caldo de pollo,100,ml;
Ajo seco,2,g;
Pan rallado,25,g;
Sal,2,g;
Aceite de oliva,5,g;",Limpiar la pechuga quitando el exceso de grasa y triturar con una picadora. Pelar y picar el ajo muy fino. Verter la mitad del caldo en un bol y agregar la carne y al ajo picado. Añadir el pan rallado y sal. Mezclar hasta obtener una masa compacta (se puede añadir más pan rallado si es necesario). Hacer bolas de tamaño similar con la masa. Sofreír las albóndigas con aceite de oliva a fuego lento. En otra sartén saltear el puerro y los champiñones con aceite y añadir el resto del caldo. Dejar reposar 5 min. y mezclar la salsa con las albóndigas. Servir. ,
288,130,sp,Conejo en salsa de manzana,"Lomo de conejo,200,g; 
Manzana,70,g;
Cebolla blanca,15,g;
Tomate triturado natural,25,g;
Ajo seco,1,g;
Sal,2,g;
Pimienta negra molida,0.3,g;
Aceite de oliva,10,g;","Limpiar y picar las manzanas finamente. Sazonar el conejo y acompañar con ajo picado. Dorar en un cazo con poco aceite de oliva hasta que la carne esté al gusto. Separar las piezas de carne y colocar en un plato. Por otro lado, añadir las manzanas, cebollas y salsa de tomate en un cazo. Tapar y dejar cocer a fuego lento. Triturarlo todo, excepto la carne. Jutar la salsa con el conejo. Servir. ",
289,131,sp,Pollo guisado con quinoa y pimientos,"Quinoa cruda,32,g;
Contramuslos de pollo,200,g;
Pimiento rojo,25,g;
Pimiento verde,30,g;
Ajo seco,5,g;
Guindilla seca,0.1,g;
Pimienta negra molida,0.2,g;
Agua,750,mL;
Sal,2,g;
Aceite de oliva,10,g;","Limpiar los contramuslos retirando el exceso de grasa. En una sartén dorar con poco aceite. Lavar y cortar los pimientos en trozos y picar los dientes de ajo. Una vez dorado el pollo, agregar las verduras, el ajo y la guindilla seca en la misma sartén y rehogar un par de minutos. Sazonar con pimienta al gusto. Añadir el agua y dejar cocinar a fuego medio. Seguidamente, hervir la quinoa durante 15 min. (utilizar dos o tres partes de agua por cada parte de quinoa). Escurrir la quinoa una vez hervida y dejar reposar unos minutos. Añadir la quinoa cocida en en la sartén. Rehogar un par de minutos más. Servir. ",
290,132,sp,Pollo al horno con higos y romero,"Porción de pollo,200,g;
Higos secos,40,g;
Ajo seco,3,g;
Piel de limón o naranja,1,pcs;
Pimienta negra molida,0.3,g;
Guindilla seca,0.1,g;
Romero fresco,0.2,g;
Sal,2,g;
Aceite de oliva,8,g;","Despiezar la pieza de pollo en porciones. Colocar las porciones en un bol, salpimentar y añadir las hojas de romero sin la rama, el ajo rallado y la piel de limón o naranja rallada. Mezclar todo manualmente para que se impregne con la carne. Cubrir el bol con papel film y dejar que repose en la nevera unas 2 horas. Después del reposo, precalentar el horno a 200ºC. Colocar las porciones de pollo sobre la bandeja de hornear dejando espacio entre piezas. Cortar los higos en mitades y colocar en los huecos de la bandeja. Rociar con un poco de aceite de oliva. Introducir la bandeja en el horno y hornear entre 30 y 40 min. A los 15 min. de cocción girar las piezas. Cuando la piel del pollo esté dorada apagar el horno. Servir. ",
291,133,sp,Nuggets de pollo con rebozado de quinoa al horno,"Pechuga de pollo,250,g;
Quinoa cruda,30,g; 
Queso parmesano rallado,12,g;
Huevo crudo,28,g;
Orégano seco,0.2,g;
Comino molido,0.2,g;
Pimentón dulce,0.1,g;
Pimienta negra molida,0.1,g;
Aceite de oliva,5,g;","Cortar la pechuga de pollo en tiras o dados, salpimentar y reservar. Cocer la quinoa unos 14 min. Precalentar el horno a 180ºC y preparar una bandeja de horno con papel de hornear. Excurrir la quinoa y extender sobre la bandeja de horno con las manos. Introducir la bandeja en el horno y hornear hasta que quede crujiente (entre 17 y 20 min.). Poner la quinoa en un bol y añadir queso parmesano, orégano, sal y las especias, y mezclar bien. Batir el huevo. Rebozar las tiras de pollo en el huevo y después en la mezcla de quinoa y especias. Rapartir los nuggets en la bandeja de horno con papel limpio. Hornear a 180ºC con un poco de aceite de oliva durante 12-15 min. Servir. ",
292,134,sp,Pollo crispy con copos de avena,"Pechuga de pollo,200,g;
Huevo crudo,20,g;
Copos de avena,35,g;
Semillas de sésamo,15,g;
Mostaza,5,g;
Perejil fresco,1,g;
Pimienta negra molida,0.2,g;
Aceite de oliva,5,g;","Filetear la pechuga de pollo a tiras y salpimentar. Batir los huevos en un bol, añadir el perejil picado y la mostaza, y mezclar. En un plato hondo, mezclar los copos de avena y las semillas de sésamo. Rebozar los filetes de pollo con el huevo y seguidamente con la mezcla de avena. Repartir el pollo en una bandeja con papel de hornear. Rociar con poco aceite de oliva. Precalentar el horno a 200ºC. Hornear durante 15 min. a 200ºC, y dar la vuelta y dejar otros 15 min. más. Servir.  ",
293,135,sp,Rollitos de pavo rellenos de setas al horno,"Pechuga de pavo,180,g;
Jamón cocido,15,g;
Queso mozzarella,15,g;
Puerro,10,g;
Cebolla tierna,10,g;
Ajo seco,2,g;
Champiñones,25,g;
Aceitunas verdes sin hueso,15,g;
Pimienta negra molida,0.2,g;
Aceite de oliva,8,g;","Preparar el relleno: Picar finamente el puerro, el ajo y la cebolla, y sofreír con aceite de oliva a fuego suave. Limpiar y trocear los champiñones y las aceitunas, y añadir al sofrito anterior. Sofreír 5 min. más. Condimentar el sofrito y triturar hasta que quede una masa densa. Salpimentar y dejar enfriar. 
Preparar los rollitos de pavo: Filetear la pechuga y estirar bien los filetes. Superponer los filetes para formar una capa grande. Cubrir la capa de pavo con el jamón cocido y añadir encima la masa de champiñones y la mozzarella. Cerrar el rollito cuidadosamente con la ayuda de palillos de madera. Sellar y dorar el rollito en una sartén con un poco de aceite de oliva. Introducir el rollito en el horno a 180ºC durante 15 min. Servir. ",
294,136,sp,Libritos de pechuga de pollo rellenos de espinacas y queso,"Pechuga de pollo,250,g;
Mozzarella fresca,63,g;
Piñones crudos,8,g;
Espinaca cruda,55,g;
Pimienta negra molida,0.2,g;
Sal,2,g;
Aceite de oliva,4,g;","Preparar el relleno: Lavar las espinacas y trocerlas. Añadir las espinacas y los piñones en una sartén con poco aceite de oliva. Rehogar 2 min. y salpimentar.
Preparar los libritos de pollo: Filetear la pechuga de pollo. Abrir cada filete por la mitad en forma de libro dejando un lado sin cortar. Rellenar con las espinacas y cubrir con una rodaja de mozzarella. Cerrar el librito uniendo las dos capas del filete de pollo con un palillo de madera. Colocar en una plato, cubrir con papel film y refrigerar durante 30 o 40 min. A continuación, colocar el librito en una bandeja de horno y hornear a 200ºC durante 20 min. Una vez dorado, retirar del horno. Servir. ",
295,137,sp,Muslo de conejo guisado con trigo salteado,"Muslo de conejo,130,g;
Granos de trigo crudo,25,g; 
Zanahoria cruda,40,g;
Cebolla,55,g;
Pimiento verde,15,g;
Ajo seco,3,g;
Salsa de tomate,30,g;
Harina,4,g;
Caldo de carne,50,ml;
Pimienta negra molida,0.2,g;
Romero fresco,0.2,g;
Tomillo seco,0.2,g;
Pimentón dulce,0.1,g;
Aceite de oliva,10,g; ","Poner los granos de trigo en remojo la noche anterior. El mismo día, cocer el trigo con agua durante 30 min. Escurrir y sazonar. Pelar y picar el ajo, la cebolla y las zanahoria, y rehogar en una cazuela con poco aceite de oliva. Sazonar y reservar. Salpimentar los muslos de conejo y dorar en una sartén con aceite de oliva. Incorporar el conejo dorado en la cazuela con las verduras y añadir la harina, la pimienta negra molida y el resto de las especias y rehogar. Agregar el pimentón, el caldo y la salsa de tomate.Cocinar a fuego lento durante 25-30 min. Retirar los muslos de conejo en un plato, y triturar la salsa. Volver a incorporar los muslos en la salsa y dejar cocinar durante 2-3 min. Reservar. Por otro lado, picar el pimiento verde y saltearlo en una sartén con aceite de oliva. Sazonar. Incorporar el trigo cocido y saltear el conjunto. Servir el muslo de conejo con la salsa y acompañado del trigo. ",
296,138,sp,Conejo asado con salsa de soja y miel,"Conejo,200,g;
Cebolla,60,g;
Pimiento verde,60,g;
Tomate,60,g;
Salsa de soja,15,ml;
Miel,5,g;
Aceite de oliva,10,g;
Vino blanco,5,ml;
Perejil,5,g;","Trocea el conejo, salpimiéntalo, colócalo en un bol y añade la soja y la miel. Úntalo bien y colócalo sobre una placa de horno. Hornéalo a 190ºC durante 20-25 minutos. A los 15 minutos, úntalo con el resto de la mezcla de soja y miel que ha sobrado en el bol. Pela los ajos, lamínalos y ponlos a dorar en una sartén grande con un chorrito de aceite. Pela las cebollas, pícalas en juliana fina y añádelas. Pica los pimientos en juliana fina e incorpóralos. Deja que se poche todo bien. Sazona. Cuando esté bien caramelizado, vierte el caldo de carne y cocínalo hasta que se evapore. Pela los tomates y córtalos en medias lunas. Extiéndelos sobre una fuente grande. Coloca encima los trozos de conejo y la fritada. Salsea con el jugo que ha soltado el conejo y sirve. Decora con una hoja de perejil.",
297,139,sp,Pechuga de pavo marinada con naranja,"Pechuga de pavo,250,g;
Cebolla cruda,40,g;
Champiñones,40,g;
Pimiento rojo,20,g;
Naranja exprimida,20,ml;
Limón exprimido,15,ml;
Aceite de oliva,10,ml;
Sal,2,g;","Se preparan los ingredientes de la marinada: pechuga de pavo, zumo de naranja y limon (y un poco de rallado), algunas especies al gusto (pimienta, jengibre). En una bolsa de congelación se mete la pechuga junto con todos los ingredientes de la marinada.Se hace un nudo, se masajea y se coloca en un bol. Se mete en la nevera toda la noche. Al día siguiente, ponemos una cucharada de aceite de oliva en la olla rápida. Cuando esté bien caliente ponemos la pechuga escurrida de la marinada. Se sella a fuego alto. Se saca y se reserva. En la misma olla se añade otra cucharada de aceite de oliva y se añade la verdura troceada. Se rehoga todo. Cuando ya está blanda volvemos a meter la pechuga reservada. Se añade el vino blanco y dejamos reducir un poco. Volcar toda la marinada en la olla. Tiene que cubrir por lo menos la mitad del lomo. Cerrar la olla. Cuando suba la segunda anilla naranja, bajar el fuego y dejar 10 minutos. Listo para servir. ",
298,140,sp,Sardinas en escabeche,"Sardinas,120,g;
Cebolla,30,g;
Zanahoria,40,g;
Ajo,30,g;
Aceite de oliva,20,ml;
Harina,15,g;
Vino blanco,15,ml;
Agua,20,ml;
Especias,15,g;","Limpiar las sardinas. Las enharinamos y las freímos en un fondo generoso de aceite en una cazuela. En cuanto tomen color por cada lado, las vamos retirando a una bandeja y las colocamos sobre papel de cocina y reservar. Ahora vamos a rehogar en ese aceite de oliva la cebolla picada en juliana, la zanahoria a rodajas y los dientes de ajo picados gruesos. Añadimos también al laurel y los granos de pimienta y dejamos que se poche todo lentamente. Cuando la verdura esté pochada, añadimos el pimentón y al momento agregamos el vinagre y el vino blanco. Ponemos también la sal y las hierbas. Hay que esperar que se evapore el alcohol. Lo notaremos en el aroma que desprende la cazuela. Es importante probar el escabeche para darle el punto justo de fuerza que nos guste, eso es personal. Para ello añadimos agua hasta que esté equilibrado, es fácil que pueda llevarse otro vaso de agua entero si no te gusta muy fuerte. Dejamos que siga reduciendo al fuego unos 15 minutos. Después de este tiempo, incorporamos entonces las sardinas que habíamos frito y las cocemos en nuestro escabeche un par de minutos, moviendo la cazuela en vaivén para que no se nos deshagan. Retiramos del fuego y dejamos enfriar las sardinas en escabeche antes de servir. Lo mejor es dejarlas en el escabeche de un día para otro en la nevera y sacarlas un rato antes de servirlas para que estén a temperatura ambiente.",
299,141,sp,Salmón con verduras al horno,"Lomo de salmón,120,g;
Patata cruda,180,g;
Cebolla cruda,40,g;
Zanahoria cruda,35,g;
Pimiento rojo crudo,40,g;
Pimiento verde crudo,30,g
Ajo picado,1,g;
Aceite de oliva;7,g;
Pimienta negra,0.5,g;
Sal,2,g;
Agua,100,ml","Pelar y cortar la patata, zanahoria y cebolla en finas láminas. Cortar los pimientos en cubos. Picar el ajo. Colocar las verduras y el ajo en una bandeja de horno. Regamos con ½ vaso de agua. Condimentar con sal y pimienta. Agregar el aceite. Mezclar y colocar 30 minutos (aproximado) en horno previamente precalentado a 200 ºC. Colocar el lomo de salmón sobre las verduras, con la parte de piel hacia arriba, previamente condimentado con sal y pimienta. Colocar al horno 20 minutos adicionales. Servir.",
300,142,sp,Merluza con salsa verde,"Merluza en rodajas,120,g;
Cebolla cruda,70,g;
Ajo picado,0.4,g;
Caldo de pescado,80,ml
Harina de trigo integral,5,g;
Peregil fresco,4,g;
Sal,2,g;
Aceite de oliva virgen extra,10,g.","Pelar y picar el ajo y saltear en una cazuela. Añadir la cebolla rallada y sofreír con poco aceite a fuego suave hasta que esté bien cocida. Añadir la harina y remover bien, dejar durante 2 minutos. Verter el caldo y remover para evitar que se formen grumos con la harina. Dejar cocer durante 10 minutos. Picar el perejil fresco y salpimentar la merluza. Añadir todo en la cazuela. Tapar la cazuela y dejar cocer a fuego medio durante cinco minutos. Servir.",
